;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Requirement ID;Caption Numbering;Requirement;Detail;Layer;Status;Status Requirement;Priority;Implemented in
;;;;;;;;
;1;Extract SAP Objects;;Header Level 1;;;;
;1.1;Extract ABAP Objects;;Header Level 2;;;;
;1.1.1;Selection of Objects;;Header Level 3;;;;
SAP_2_FAMIX_3;;Select all components in a package and the sub packages of this package;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_44;;Allow to select only specific objects and all using objects;;Requirement;to be developed;;;issue1
SAP_2_FAMIX_46;;Allow to select only specific objects and all used objects;;Requirement;to be developed;;;issue1
SAP_2_FAMIX_48;;Allow to select all using objects;;Requirement;developed;;;
SAP_2_FAMIX_47;;If no dummy class is specified in case a using class is not in the initial selection, analyze this classes also;;Requirement;to be developed;Requirement Confirmed;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;1.1.2;Extract Classes from Dictionary;;Header Level 3;;;;
;1.1.2.1;ABAP Classes, methods and parameters;;Header Level 4;;;;
SAP_2_FAMIX_1;;Extract classes from Dictionary;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_6;;Map ABAP classes to FAMIX.Class;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_39;;Map all inheritances between classes in selected packages to FAMIX.Inheritance;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_40;;Map all interface implementations of interfaces in selected packages by classes of selected packages by FAMIX.Inheritance;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_9;;Extract methods of classes;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_15;;Map methods of classes to FAMIX.Method;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_41;;Fill the attribut signature of FAMIX.METHOD with the name of the method;So that the name is displayed in diagrams like System Attraction;Requirement;to be developed;;;
SAP_2_FAMIX_11;;Extract attributes of classes;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_13;;Mapp attributes of classes to FAMIX.Attribute;;Requirement;developed;Requirement Confirmed;;
;;;;;;;;
;1.1.3;Common logic in case objects are used by classes;;Header Level 3;;;;
SAP_2_FAMIX_21;;If a component is used by a class that is not selected, add this class to the model;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_35;;Add a usage to a single dummy class OTHER_SAP_CLASS if required by a parameter;;Requirement;developed;;;
SAP_2_FAMIX_22;;Do not assign classes that included due to usage to a package;;Requirement;developed;Check Requirement;;
SAP_2_FAMIX_23;;If a component is used by a class that is not selected, add the using methods to the model;Therefore some methods may not be included in the model;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_36;;Add a usage to a single dummy method OTHER_SAP_METHOD if required by a parameter;;Requirement;developed;Requirement Confirmed;;
;;;;;;;;
;1.1.4;Usage of ABAP Classes;;Header Level 3;;;;
SAP_2_FAMIX_17;;Determine usage of class methods by programs and classes;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_24;;Map usage of ABAP class methods by methods of classes to FAMIX.Invocation;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_19;;Determine usage of class attributes by programs and classes;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_26;;Map usage of ABAP class attributes by methods of classes to FAMIX.Invocation;;Requirement;developed;Requirement Confirmed;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;1.1.4.1;ABAP Interfaces, methods and parameters;;Header Level 4;;;;
SAP_2_FAMIX_2;;Extract interfaces;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_7;;Map ABAP Interfaces to FAMIX.Class;;Requirement;developed;Requirement Confirmed;;
;;;;;;;;
;;;;;;;;
SAP_2_FAMIX_8;;Set the attribute isInterface in case of ABAP Interfaces;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_10;;Extract methods of interfaces;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_16;;Map methods of interfaces to FAMIX.Method;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_42;;Fill the attribut signature of FAMIX.METHOD with the name of the method;;Requirement;to be developed;;;
SAP_2_FAMIX_12;;Extract attributes of interfaces;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_14;;Mapp attributes of interfaces to FAMIX.Attribute;;Requirement;developed;Requirement Confirmed;;
;;;;;;;;
;1.1.5;Usage of Interfaces;;Header Level 3;;;;
SAP_2_FAMIX_18;;Determine usage of interface methods by programs and classes;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_25;;Map usage of ABAP interface methods by methods of classes to FAMIX.Invocation;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_20;;Determine usage of interface attributes by programs and classes;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_27;;Map usage of ABAP interface attributes by methods of classes to FAMIX.Invocation;;Requirement;developed;Requirement Confirmed;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;1.1.6;ABAP Programs;;Header Level 3;;;;
SAP_2_FAMIX_4;;Extract programs;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_5;;Map program to FAMIX.Module;;;developed;Requirement Confirmed;;
;;;;;;;;
;1.1.6.1;Class and Interfaces in Programs;;Header Level 4;;;;
;;;;;;;;
SAP_2_FAMIX_28;;Determine local classes in programs;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_30;;Map local classes of programs to FAMIX.Class;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_31;;Assign local classes to a container of type FAMIX.Module with the name of the program;;Requirement;developed;Requirement Confirmed;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
SAP_2_FAMIX_29;;Determine local class methods in programs;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_32;;Map local methods to the FAMIX.Method;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_33;;Set the attribute parentType of FAMIX.Method for local methods to the name of the local class;;Requirement;developed;Requirement Confirmed;;
SAP_2_FAMIX_43;;Fill the attribut signature of FAMIX.METHOD with the name of the method;;Requirement;developed;;;
SAP_2_FAMIX_37;;Determine local inheritances of classes;;Requirement;to be developed;Requirement Confirmed;;
SAP_2_FAMIX_38;;Map local inheritances of classes to FAMIX.Inheritance;;Requirement;developed;Requirement Confirmed;;
;;;;;;;;
;;Checks;;Header Level 1;;;;
;;;;;;;;
SAP_2_FAMIX_49;;Return a message if a package has more than one parent package;;Requirement;Developer Test passed;Requirement Confirmed;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;Export Model;;Header Level 1;;;;
SAP_2_FAMIX_34;;Allow to export the model in the .mse Moose format;;Requirement;developed;Requirement Confirmed;;yrw1_moose_extractor_2
